distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
0	ensorlt00000004176	sorlg00000003361		15	13015106	13033440	+	mRNA	protein_coding
-8498	ensorlt00000045267	sorlg00000003350	ubr2-201	15	13006195	13013991	+	mRNA	protein_coding
21564	ensorlt00000037335	sorlg00000003367	kcng3-202	15	13037358	13043655	+	mRNA	protein_coding
23467	ensorlt00000004183	sorlg00000003367	kcng3-201	15	13039261	13045301	+	mRNA	protein_coding
-25121	ensorlt00000004168	sorlg00000003350	ubr2-202	15	12989572	13016886	+	mRNA	protein_coding
34372	ensorlt00000004256	sorlg00000003423	tspan14-201	15	13050166	13056192	+	mRNA	protein_coding
36681	ensorlt00000004258	sorlg00000003423	tspan14-202	15	13052475	13056192	+	mRNA	protein_coding
-39845	ensorlt00000029700	sorlg00000025354	si:ch73-193i2.2-201	15	12974848	12988806	+	mRNA	protein_coding
41766	ensorlt00000004297	sorlg00000003456	eml4-203	15	13057560	13079758	+	mRNA	protein_coding
41766	ensorlt00000045537	sorlg00000003456	eml4-202	15	13057560	13079758	+	mRNA	protein_coding
41766	ensorlt00000004296	sorlg00000003456	eml4-201	15	13057560	13079758	+	mRNA	protein_coding
41766	ensorlt00000034842	sorlg00000003456	eml4-204	15	13057560	13079758	+	mRNA	protein_coding
-53337	ensorlt00000037101	sorlg00000029510	prkn-201	15	12961356	12973073	+	mRNA	protein_coding
-58153	ensorlt00000028644	sorlg00000026680		15	12956540	12960420	+	mRNA	protein_coding
-59755	ensorlt00000027828	sorlg00000026680		15	12954938	12960420	+	mRNA	protein_coding
-61142	ensorlt00000041055	sorlg00000026680		15	12953551	12960420	+	mRNA	protein_coding
66013	ensorlt00000004302	sorlg00000003462		15	13081310	13081807	-	mRNA	protein_coding
-70627	ensorlt00000004067	sorlg00000003269	ncoa4-202	15	12944066	12947460	+	mRNA	protein_coding
-71791	ensorlt00000035874	sorlg00000003269	ncoa4-203	15	12942902	12950436	+	mRNA	protein_coding
-71791	ensorlt00000038951	sorlg00000003269	ncoa4-201	15	12942902	12950436	+	mRNA	protein_coding
-74166	ensorlt00000030164	sorlg00000003250	yipf3-201	15	12936661	12940527	-	mRNA	protein_coding
-74769	ensorlt00000004047	sorlg00000003250	yipf3-202	15	12937188	12939924	-	mRNA	protein_coding
-78039	ensorlt00000031064	sorlg00000029764		15	12935597	12936654	-	mRNA	protein_coding
-84441	ensorlt00000039772	sorlg00000026021		15	12930252	12933724	+	mRNA	protein_coding
-87679	ensorlt00000004007	sorlg00000003216	dnph1-201	15	12926040	12927014	-	mRNA	protein_coding
-98516	ensorlt00000003996	sorlg00000003209	tjap1-201	15	12916177	12923054	+	mRNA	protein_coding
