distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
408	ensorlt00000040597	sorlg00000018243	pgap1-202	21	28551966	28564640	+	mRNA	protein_coding
-713	ensorlt00000044798	sorlg00000022432		21	28548687	28549808	-	mRNA	protein_coding
-3149	ensorlt00000022850	sorlg00000018243	pgap1-201	21	28547372	28564640	+	mRNA	protein_coding
-3170	ensorlt00000024708	sorlg00000028215	tyw5-202	21	28540095	28547351	-	mRNA	protein_coding
-6914	ensorlt00000022842	sorlg00000018239	maip1-201	21	28543607	28547351	+	mRNA	protein_coding
-7231	ensorlt00000042490	sorlg00000028215	tyw5-201	21	28538633	28543290	-	mRNA	protein_coding
-29054	ensorlt00000031131	sorlg00000024134		21	28521467	28538559	+	mRNA	protein_coding
-44392	ensorlt00000043255	sorlg00000024134		21	28506129	28538612	+	mRNA	protein_coding
-44392	ensorlt00000035063	sorlg00000024134		21	28506129	28538612	+	mRNA	protein_coding
-44392	ensorlt00000022840	sorlg00000024134		21	28506129	28538612	+	mRNA	protein_coding
48370	ensorlt00000027731	sorlg00000026117		21	28599928	28605326	+	mRNA	protein_coding
-61655	ensorlt00000022839	sorlg00000018237		21	28484059	28488866	-	mRNA	protein_coding
-80812	ensorlt00000030616	sorlg00000026425		21	28468358	28469709	-	mRNA	protein_coding
