distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-3327	enst00000561401	sg00000169856	onecut1-203	15	52757315	52791078	-	lnc_RNA	processed_transcript
-4069	enst00000305901	sg00000169856	onecut1-201	15	52755053	52790336	-	mRNA	protein_coding
-5009	enst00000570208	sg00000169856	onecut1-204	15	52785725	52789396	-	mRNA	nonsense_mediated_decay
8499	enst00000654059	sg00000259203	ac016044.1-205	15	52800168	52804613	-	lnc_RNA	lncrna
8828	enst00000560818	sg00000259203	ac016044.1-201	15	52801614	52804942	-	lnc_RNA	lncrna
9137	enst00000660503	sg00000259203	ac016044.1-203	15	52802565	52805251	-	lnc_RNA	lncrna
9631	enst00000656588	sg00000259203	ac016044.1-202	15	52803206	52805745	-	lnc_RNA	lncrna
9858	enst00000671573	sg00000259203	ac016044.1-204	15	52803556	52805972	-	lnc_RNA	lncrna
-13222	enst00000560699	sg00000169856	onecut1-202	15	52757440	52781183	-	mRNA	protein_coding
-84588	enst00000561490	sg00000047346	fam214a-205	15	52611625	52709817	-	mRNA	protein_coding
89481	enst00000477347	sg00000214896	rpsap55-201	15	52885595	52886470	+	pseudogenic_transcript	processed_pseudogene
-114931	enst00000653440	sg00000287500	ac009754.2-201	15	52679474	52690077	+	lnc_RNA	lncrna
-115033	enst00000561543	sg00000047346	fam214a-206	15	52611694	52679372	-	mRNA	protein_coding
-115033	enst00000566768	sg00000047346	fam214a-209	15	52611601	52679372	-	mRNA	protein_coding
-115646	enst00000534964	sg00000047346	fam214a-203	15	52581321	52678759	-	mRNA	nonsense_mediated_decay
-115649	enst00000562135	sg00000047346	fam214a-207	15	52611233	52678756	-	mRNA	protein_coding
-115649	enst00000399202	sg00000047346	fam214a-202	15	52584743	52678756	-	mRNA	protein_coding
-115782	enst00000261844	sg00000047346	fam214a-201	15	52581321	52678623	-	mRNA	protein_coding
-115845	enst00000562351	sg00000047346	fam214a-208	15	52656053	52678560	-	mRNA	protein_coding
-116184	enst00000568863	sg00000047346	fam214a-213	15	52611711	52678221	-	mRNA	protein_coding
-116289	enst00000619572	sg00000047346	fam214a-216	15	52581932	52678116	-	mRNA	protein_coding
-142355	enst00000546305	sg00000047346	fam214a-204	15	52581853	52652050	-	mRNA	protein_coding
142404	enst00000559385	sg00000259612	eef1a1p22-201	15	52937139	52938518	-	pseudogenic_transcript	processed_pseudogene
-144539	enst00000566282	sg00000259935	ac009754.1-201	15	52648634	52649866	-	lnc_RNA	lncrna
-185809	enst00000566948	sg00000047346	fam214a-210	15	52586022	52608596	-	lnc_RNA	retained_intron
-189214	enst00000568668	sg00000047346	fam214a-212	15	52593417	52605191	-	lnc_RNA	retained_intron
-189228	enst00000570204	sg00000047346	fam214a-215	15	52584905	52605177	-	mRNA	nonsense_mediated_decay
-193241	enst00000568637	sg00000047346	fam214a-211	15	52582188	52601164	-	mRNA	protein_coding
-209082	enst00000568871	sg00000047346	fam214a-214	15	52581317	52585323	-	lnc_RNA	retained_intron
-209498	enst00000566344	sg00000260618	ac025917.1-202	15	52584907	52587652	+	lnc_RNA	lncrna
-216563	enst00000562062	sg00000260618	ac025917.1-201	15	52577842	52598709	+	lnc_RNA	lncrna
-224522	enst00000561971	sg00000128989	arpp19-203	15	52551809	52569883	-	mRNA	protein_coding
-225166	enst00000566423	sg00000128989	arpp19-208	15	52547045	52569239	-	mRNA	protein_coding
-225196	enst00000563277	sg00000128989	arpp19-204	15	52551367	52569209	-	mRNA	protein_coding
-225238	enst00000567830	sg00000128989	arpp19-210	15	52552009	52569167	-	mRNA	protein_coding
-225238	enst00000563566	sg00000128989	arpp19-205	15	52551769	52569167	-	mRNA	protein_coding
-225238	enst00000569281	sg00000128989	arpp19-212	15	52551672	52569167	-	mRNA	protein_coding
-225238	enst00000567669	sg00000128989	arpp19-209	15	52551594	52569167	-	mRNA	protein_coding
-225241	enst00000249822	sg00000128989	arpp19-201	15	52547244	52569164	-	mRNA	protein_coding
-225251	enst00000569723	sg00000128989	arpp19-213	15	52551649	52569154	-	mRNA	protein_coding
-225390	enst00000564163	sg00000128989	arpp19-206	15	52551735	52569015	-	mRNA	protein_coding
-225573	enst00000561650	sg00000128989	arpp19-202	15	52549527	52568832	-	mRNA	protein_coding
-236661	enst00000568196	sg00000128989	arpp19-211	15	52551261	52557744	-	mRNA	protein_coding
-237352	enst00000565288	sg00000128989	arpp19-207	15	52551920	52557053	-	lnc_RNA	processed_transcript
-265355	enst00000613858	sg00000197535	myo5a-213	15	52307288	52529050	-	mRNA	protein_coding
-265355	enst00000399233	sg00000197535	myo5a-206	15	52307288	52529050	-	mRNA	protein_coding
-265355	enst00000358212	sg00000197535	myo5a-202	15	52307288	52529050	-	mRNA	protein_coding
-265355	enst00000399231	sg00000197535	myo5a-205	15	52307283	52529050	-	mRNA	protein_coding
-265525	enst00000356338	sg00000197535	myo5a-201	15	52307286	52528880	-	mRNA	protein_coding
-265525	enst00000556196	sg00000197535	myo5a-210	15	52367085	52528880	-	mRNA	nonsense_mediated_decay
-265564	enst00000553916	sg00000197535	myo5a-209	15	52313304	52528841	-	mRNA	protein_coding
-289214	enst00000567221	sg00000231169	eef1b2p1-201	15	52505191	52505862	+	pseudogenic_transcript	processed_pseudogene
320251	enst00000559915	sg00000259237	linc02490-201	15	53116365	53129698	+	lnc_RNA	lncrna
-368438	enst00000561810	sg00000197535	myo5a-211	15	52416005	52425967	-	lnc_RNA	retained_intron
-398020	enst00000469611	sg00000197535	myo5a-208	15	52387750	52396385	-	lnc_RNA	retained_intron
-442924	enst00000568914	sg00000197535	myo5a-212	15	52337810	52351481	-	mRNA	protein_coding
-442924	enst00000399228	sg00000197535	myo5a-203	15	52337810	52351481	-	mRNA	protein_coding
-443023	enst00000399229	sg00000197535	myo5a-204	15	52313696	52351382	-	mRNA	protein_coding
-470509	enst00000465290	sg00000197535	myo5a-207	15	52321469	52323896	-	lnc_RNA	retained_intron
-498601	enst00000261839	sg00000128833	myo5c-201	15	52192322	52295804	-	mRNA	protein_coding
-498632	enst00000558479	sg00000128833	myo5c-204	15	52272689	52295773	-	mRNA	protein_coding
-498636	enst00000558902	sg00000128833	myo5c-205	15	52229230	52295769	-	mRNA	nonsense_mediated_decay
-498637	enst00000541028	sg00000128833	myo5c-202	15	52261007	52295768	-	lnc_RNA	processed_transcript
-498661	enst00000559459	sg00000128833	myo5c-207	15	52250991	52295744	-	mRNA	nonsense_mediated_decay
-498749	enst00000560809	sg00000128833	myo5c-209	15	52192659	52295656	-	mRNA	nonsense_mediated_decay
