distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
0	enst00000636362	sg00000187682	eras-202	X	48826513	48829869	+	mRNA	protein_coding
1112	enst00000338270	sg00000187682	eras-201	X	48828873	48830138	+	mRNA	protein_coding
-2697	enst00000430858	sg00000094631	hdac6-206	X	48823518	48824976	+	mRNA	protein_coding
-6768	enst00000488543	sg00000094631	hdac6-228	X	48819447	48824976	+	lnc_RNA	retained_intron
7066	enst00000611033	sg00000102109	pcsk1n-202	X	48832263	48834827	-	lnc_RNA	processed_transcript
7849	enst00000218230	sg00000102109	pcsk1n-201	X	48831096	48835610	-	mRNA	protein_coding
-7902	enst00000498808	sg00000094631	hdac6-234	X	48818313	48823579	+	lnc_RNA	processed_transcript
-8144	enst00000480525	sg00000094631	hdac6-222	X	48818071	48823109	+	mRNA	nonsense_mediated_decay
-8577	enst00000489053	sg00000094631	hdac6-230	X	48817638	48818286	+	lnc_RNA	retained_intron
-9255	enst00000483506	sg00000094631	hdac6-223	X	48816960	48818085	+	lnc_RNA	retained_intron
-9645	enst00000470942	sg00000094631	hdac6-217	X	48816570	48820203	+	lnc_RNA	retained_intron
-9742	enst00000486665	sg00000094631	hdac6-227	X	48816473	48820180	+	mRNA	nonsense_mediated_decay
-9745	enst00000645643	sg00000094631	hdac6-241	X	48816470	48824947	+	mRNA	nonsense_mediated_decay
-10025	enst00000495515	sg00000094631	hdac6-233	X	48816190	48816953	+	lnc_RNA	retained_intron
-10416	enst00000465457	sg00000094631	hdac6-214	X	48815799	48817336	+	lnc_RNA	retained_intron
-10935	enst00000644164	sg00000094631	hdac6-240	X	48815280	48816268	+	lnc_RNA	processed_transcript
-10946	enst00000488905	sg00000094631	hdac6-229	X	48815269	48815844	+	lnc_RNA	retained_intron
-11450	enst00000485102	sg00000094631	hdac6-225	X	48814765	48816176	+	lnc_RNA	retained_intron
-11675	enst00000478095	sg00000094631	hdac6-221	X	48814540	48815428	+	lnc_RNA	retained_intron
-12862	enst00000486227	sg00000094631	hdac6-226	X	48813353	48824976	+	lnc_RNA	retained_intron
-19606	enst00000642405	sg00000094631	hdac6-235	X	48806609	48815023	+	mRNA	protein_coding
-19796	enst00000461608	sg00000094631	hdac6-211	X	48806419	48806959	+	mRNA	protein_coding
-23307	enst00000493923	sg00000094631	hdac6-232	X	48802908	48803439	+	lnc_RNA	retained_intron
-23327	enst00000647398	sg00000094631	hdac6-243	X	48802888	48824967	+	mRNA	nonsense_mediated_decay
-23435	enst00000468949	sg00000094631	hdac6-215	X	48802780	48806648	+	lnc_RNA	retained_intron
-23665	enst00000440653	sg00000094631	hdac6-208	X	48802550	48806445	+	mRNA	protein_coding
-23700	enst00000443563	sg00000094631	hdac6-210	X	48802515	48806431	+	mRNA	protein_coding
-24008	enst00000489352	sg00000094631	hdac6-231	X	48802207	48805846	+	mRNA	protein_coding
-24028	enst00000643934	sg00000094631	hdac6-238	X	48802187	48824958	+	mRNA	protein_coding
-24029	enst00000441703	sg00000094631	hdac6-209	X	48802186	48805745	+	mRNA	protein_coding
-24047	enst00000644068	sg00000094631	hdac6-239	X	48802168	48824976	+	mRNA	protein_coding
-24056	enst00000643374	sg00000094631	hdac6-236	X	48802159	48824956	+	mRNA	protein_coding
-24082	enst00000643659	sg00000094631	hdac6-237	X	48802133	48824860	+	lnc_RNA	processed_transcript
-24105	enst00000477561	sg00000094631	hdac6-220	X	48802110	48808270	+	lnc_RNA	processed_transcript
-24131	enst00000646703	sg00000094631	hdac6-242	X	48802084	48816011	+	mRNA	protein_coding
-24133	enst00000476625	sg00000094631	hdac6-218	X	48802082	48806233	+	mRNA	protein_coding
-24148	enst00000334136	sg00000094631	hdac6-201	X	48802067	48824976	+	mRNA	protein_coding
-24151	enst00000465269	sg00000094631	hdac6-213	X	48802064	48805855	+	mRNA	protein_coding
