distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
0	enst00000588097	sg00000267750	rundc3a-as1-202	17	44299574	44315315	-	lnc_RNA	lncrna
-110	enst00000593079	sg00000108309	rundc3a-207	17	44314758	44315713	+	lnc_RNA	retained_intron
338	enst00000588564	sg00000108309	rundc3a-204	17	44316555	44318670	+	lnc_RNA	retained_intron
-4164	enst00000587483	sg00000108309	rundc3a-203	17	44310704	44318669	+	lnc_RNA	retained_intron
4930	enst00000592372	sg00000013306	slc25a39-215	17	44319691	44321147	-	lnc_RNA	retained_intron
5307	enst00000593166	sg00000013306	slc25a39-217	17	44319820	44321524	-	mRNA	nonsense_mediated_decay
6228	enst00000588767	sg00000013306	slc25a39-211	17	44319995	44322445	-	mRNA	protein_coding
-6267	enst00000426726	sg00000108309	rundc3a-202	17	44308601	44318670	+	mRNA	protein_coding
-6272	enst00000225441	sg00000108309	rundc3a-201	17	44308596	44317870	+	mRNA	protein_coding
-6285	enst00000590941	sg00000108309	rundc3a-206	17	44308583	44317726	+	mRNA	protein_coding
-6455	enst00000590834	sg00000108309	rundc3a-205	17	44308413	44318670	+	lnc_RNA	retained_intron
-6475	enst00000586388	sg00000267750	rundc3a-as1-201	17	44302517	44308393	-	lnc_RNA	lncrna
-6592	enst00000655016	sg00000267750	rundc3a-as1-203	17	44303741	44308276	-	lnc_RNA	lncrna
-6920	enst00000666090	sg00000267750	rundc3a-as1-204	17	44303393	44307948	-	lnc_RNA	lncrna
-7780	enst00000516819	sg00000252628	rnu6-453p-201	17	44307088	44307172	+	snRNA	snrna
7930	enst00000591006	sg00000013306	slc25a39-213	17	44319627	44324147	-	lnc_RNA	retained_intron
8553	enst00000592857	sg00000013306	slc25a39-216	17	44322439	44324770	-	mRNA	protein_coding
8565	enst00000586016	sg00000013306	slc25a39-207	17	44319673	44324782	-	mRNA	protein_coding
8589	enst00000591151	sg00000013306	slc25a39-214	17	44322473	44324806	-	lnc_RNA	retained_intron
8592	enst00000590194	sg00000013306	slc25a39-212	17	44319642	44324809	-	mRNA	protein_coding
8601	enst00000588049	sg00000013306	slc25a39-209	17	44321434	44324818	-	mRNA	protein_coding
8605	enst00000586633	sg00000013306	slc25a39-208	17	44322422	44324822	-	mRNA	protein_coding
8606	enst00000377095	sg00000013306	slc25a39-202	17	44319628	44324823	-	mRNA	protein_coding
8610	enst00000588315	sg00000013306	slc25a39-210	17	44320629	44324827	-	lnc_RNA	retained_intron
8610	enst00000585695	sg00000013306	slc25a39-206	17	44320938	44324827	-	lnc_RNA	retained_intron
8610	enst00000537904	sg00000013306	slc25a39-203	17	44319870	44324827	-	mRNA	protein_coding
8610	enst00000585636	sg00000013306	slc25a39-205	17	44321477	44324827	-	mRNA	protein_coding
8613	enst00000585523	sg00000013306	slc25a39-204	17	44322527	44324830	-	mRNA	protein_coding
8653	enst00000225308	sg00000013306	slc25a39-201	17	44319625	44324870	-	mRNA	protein_coding
-10903	enst00000408569	sg00000221496	ac003043.1-201	17	44303965	44304203	+	snoRNA	snorna
12396	enst00000588260	sg00000267211	ac003043.2-201	17	44328613	44331462	+	lnc_RNA	lncrna
-23717	enst00000474076	sg00000239702	rn7sl507p-201	17	44290856	44291151	-	ncRNA	misc_rna
29029	enst00000588170	sg00000030582	grn-212	17	44345246	44349894	+	lnc_RNA	retained_intron
29045	enst00000589536	sg00000030582	grn-215	17	44345262	44349736	+	mRNA	protein_coding
29048	enst00000587518	sg00000030582	grn-209	17	44345265	44350287	+	mRNA	protein_coding
29048	enst00000587109	sg00000030582	grn-207	17	44345265	44349474	+	mRNA	protein_coding
29065	enst00000588143	sg00000030582	grn-211	17	44345282	44350469	+	mRNA	protein_coding
29081	enst00000593167	sg00000030582	grn-221	17	44345298	44350325	+	mRNA	protein_coding
29085	enst00000591740	sg00000030582	grn-218	17	44345302	44350283	+	mRNA	protein_coding
29085	enst00000588237	sg00000030582	grn-213	17	44345302	44351044	+	mRNA	protein_coding
29085	enst00000587387	sg00000030582	grn-208	17	44345302	44350511	+	mRNA	protein_coding
29085	enst00000592323	sg00000030582	grn-219	17	44345302	44349789	+	lnc_RNA	retained_intron
29085	enst00000053867	sg00000030582	grn-201	17	44345302	44353106	+	mRNA	protein_coding
29085	enst00000585512	sg00000030582	grn-203	17	44345302	44349275	+	mRNA	protein_coding
29085	enst00000592783	sg00000030582	grn-220	17	44345302	44350304	+	mRNA	protein_coding
29088	enst00000589265	sg00000030582	grn-214	17	44345305	44353082	+	mRNA	protein_coding
29089	enst00000587958	sg00000030582	grn-210	17	44345306	44349811	+	lnc_RNA	retained_intron
29097	enst00000586782	sg00000030582	grn-206	17	44345314	44351163	+	mRNA	nonsense_mediated_decay
32948	enst00000639447	sg00000030582	grn-222	17	44349165	44352795	+	mRNA	protein_coding
-33686	enst00000642861	sg00000285486	ac003043.3-201	17	44276368	44281182	-	lnc_RNA	lncrna
34072	enst00000590984	sg00000030582	grn-217	17	44350289	44351300	+	lnc_RNA	retained_intron
34322	enst00000586443	sg00000030582	grn-205	17	44350539	44353043	+	mRNA	protein_coding
34555	enst00000589923	sg00000030582	grn-216	17	44350772	44351795	+	lnc_RNA	processed_transcript
34694	enst00000585348	sg00000030582	grn-202	17	44350911	44351599	+	lnc_RNA	retained_intron
35985	enst00000586242	sg00000030582	grn-204	17	44352202	44353102	+	mRNA	protein_coding
-46727	enst00000498270	sg00000004939	slc4a1-204	17	44260805	44268141	-	lnc_RNA	retained_intron
-46733	enst00000262418	sg00000004939	slc4a1-201	17	44248390	44268135	-	mRNA	protein_coding
-46734	enst00000399246	sg00000004939	slc4a1-202	17	44248390	44268134	-	mRNA	protein_coding
47583	enst00000592560	sg00000161682	fam171a2-204	17	44359346	44363800	-	lnc_RNA	retained_intron
47595	enst00000589407	sg00000161682	fam171a2-203	17	44355967	44363812	-	mRNA	nonsense_mediated_decay
47617	enst00000588067	sg00000161682	fam171a2-202	17	44356306	44363834	-	mRNA	nonsense_mediated_decay
47636	enst00000293443	sg00000161682	fam171a2-201	17	44353215	44363853	-	mRNA	protein_coding
49534	enst00000590816	sg00000267634	rpl7l1p5-201	17	44365014	44365751	-	pseudogenic_transcript	processed_pseudogene
-52802	enst00000471005	sg00000004939	slc4a1-203	17	44260404	44262066	-	lnc_RNA	processed_transcript
59967	enst00000587295	sg00000005961	itga2b-202	17	44372181	44376184	-	mRNA	protein_coding
-65000	enst00000631130	sg00000004939	slc4a1-205	17	44248390	44249868	-	mRNA	protein_coding
67280	enst00000592462	sg00000005961	itga2b-208	17	44373924	44383497	-	lnc_RNA	retained_intron
68978	enst00000591990	sg00000005961	itga2b-204	17	44383683	44385195	-	lnc_RNA	retained_intron
68985	enst00000592075	sg00000005961	itga2b-205	17	44383938	44385202	-	lnc_RNA	retained_intron
68985	enst00000592226	sg00000005961	itga2b-206	17	44380057	44385202	-	lnc_RNA	retained_intron
69123	enst00000648408	sg00000005961	itga2b-210	17	44372180	44385340	-	mRNA	protein_coding
69124	enst00000592253	sg00000005961	itga2b-207	17	44383938	44385341	-	lnc_RNA	retained_intron
