distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
3390	enst00000418818	sg00000270087	ac010997.3-201	10	75279726	75401246	-	lnc_RNA	lncrna
3663	enst00000466942	sg00000237149	znf503-as2-202	10	75401519	75407941	+	lnc_RNA	lncrna
3908	enst00000372524	sg00000165655	znf503-201	10	75397830	75401764	-	mRNA	protein_coding
5041	enst00000486015	sg00000237149	znf503-as2-204	10	75402897	75407695	+	lnc_RNA	lncrna
5198	enst00000425916	sg00000237149	znf503-as2-201	10	75403054	75408982	+	lnc_RNA	lncrna
5900	enst00000491557	sg00000237149	znf503-as2-205	10	75403756	75407958	+	lnc_RNA	lncrna
6020	enst00000484411	sg00000237149	znf503-as2-203	10	75403876	75408308	+	lnc_RNA	lncrna
6309	enst00000527641	sg00000237149	znf503-as2-206	10	75404165	75407694	+	lnc_RNA	lncrna
11286	enst00000609200	sg00000272692	ac010997.4-201	10	75409142	75411842	+	lnc_RNA	lncrna
11470	enst00000609182	sg00000273248	ac010997.5-201	10	75408973	75409326	-	lnc_RNA	lncrna
-12299	enst00000416656	sg00000236797	spa17p1-201	10	75382393	75382844	-	pseudogenic_transcript	transcribed_processed_pseudogene
33732	enst00000427610	sg00000236842	ac010997.2-201	10	75430571	75431588	-	lnc_RNA	lncrna
33768	enst00000611255	sg00000148655	lrmda-215	10	75431624	76560168	+	mRNA	protein_coding
52225	enst00000623230	sg00000279814	ac010997.6-201	10	75450081	75451725	+	unconfirmed_transcript	tec
-52863	enst00000661449	sg00000226051	znf503-as1-214	10	75342280	75360850	+	lnc_RNA	lncrna
-52863	enst00000663601	sg00000226051	znf503-as1-216	10	75342280	75359197	+	lnc_RNA	lncrna
-52865	enst00000670172	sg00000226051	znf503-as1-223	10	75342278	75361676	+	lnc_RNA	lncrna
-52871	enst00000656537	sg00000226051	znf503-as1-209	10	75342272	75360855	+	lnc_RNA	lncrna
-52877	enst00000668572	sg00000226051	znf503-as1-220	10	75342266	75361229	+	lnc_RNA	lncrna
-52877	enst00000660346	sg00000226051	znf503-as1-210	10	75342266	75361680	+	lnc_RNA	lncrna
-52886	enst00000661189	sg00000226051	znf503-as1-212	10	75342257	75361680	+	lnc_RNA	lncrna
-52892	enst00000649714	sg00000226051	znf503-as1-208	10	75342251	75361680	+	lnc_RNA	lncrna
