distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
0	enst00000379499	sg00000185915	klhl34-201	X	21654690	21658330	-	mRNA	protein_coding
-10262	enst00000645238	sg00000149970	cnksr2-229	X	21645379	21654243	+	lnc_RNA	processed_transcript
-12245	enst00000643484	sg00000149970	cnksr2-218	X	21643396	21652890	+	lnc_RNA	processed_transcript
-49110	enst00000646690	sg00000149970	cnksr2-235	X	21606531	21654257	+	lnc_RNA	processed_transcript
-60418	enst00000645539	sg00000149970	cnksr2-231	X	21595223	21652744	+	lnc_RNA	retained_intron
-60770	enst00000647058	sg00000149970	cnksr2-237	X	21594871	21642357	+	lnc_RNA	retained_intron
98904	enst00000494525	sg00000091482	smpx-202	X	21706338	21758022	-	mRNA	nonsense_mediated_decay
98960	enst00000646008	sg00000091482	smpx-203	X	21727291	21758078	-	mRNA	protein_coding
98998	enst00000379494	sg00000091482	smpx-201	X	21705978	21758116	-	mRNA	protein_coding
-117773	enst00000642853	sg00000149970	cnksr2-212	X	21537868	21654108	+	lnc_RNA	processed_transcript
-123782	enst00000643156	sg00000149970	cnksr2-213	X	21531859	21654258	+	mRNA	nonsense_mediated_decay
-154166	enst00000647349	sg00000149970	cnksr2-238	X	21501475	21609569	+	lnc_RNA	retained_intron
180499	enst00000379484	sg00000012174	mbtps2-202	X	21839617	21885423	+	mRNA	protein_coding
180518	enst00000465888	sg00000012174	mbtps2-203	X	21839636	21857593	+	lnc_RNA	processed_transcript
180536	enst00000365779	sg00000012174	mbtps2-201	X	21839654	21873084	+	mRNA	protein_coding
182843	enst00000618062	sg00000275681	u73479.1-201	X	21841794	21841961	-	pseudogenic_transcript	unprocessed_pseudogene
-184907	enst00000644075	sg00000149970	cnksr2-220	X	21470734	21652822	+	lnc_RNA	retained_intron
196869	enst00000429584	sg00000230797	yy2-201	X	21855987	21858740	+	mRNA	protein_coding
213589	enst00000383912	sg00000206639	u72788.1-201	X	21872707	21872808	+	ncRNA	misc_rna
